name,grade,climb_angle,climb_style,description
Conservative Backlash,0,vertical,technical,Spectacular balancy arete climb! Maybe one of the best V0s in the park if flat landings are a criteria for you.
The Banzai Knife,6,vertical,face,"A hard start on crimps takes you up the initial face to where you can move left into the flake and over the higher landing platform. Follow the flake as it angles up and left above the higher landing area. At the end of the flake pull up to the sloping lip and make tough and intimidating moves onto the slab above.    The top out on this problem is not your typical Hueco Tanks finish, no jugs up there."
Snakecharmer,7,overhanging,steep,"One of the best problems of the grade in the park.    Start on the right facing 3 finger jug at the base of the arete. Move up through the bulge to double pinches. Figure out some sneaky feet to get up to the next pair of holds, a slopy pinch and a good edge. Set your feet and make a scary move to the angling lip feature. Follow the lip up and right to top out where you can squeeze past the wall behind."
Hobbit with a Boner,8,overhanging,steep,"Great roof climb with seemingly horrific, but manageable start and finish ""landings"". Manageable, as in, it can be protected with good padding and spotters; but really, one should be confident in climbing in this grade range before giving this serious attempts IMHO."
Low Dryer,10,overhanging,steep,"Start in slopey undercling down low and hug your way up to Blow Dryer.  Don't know how the first ascentionist did the cruxy first move, but a proper sit-start definitely makes a difference compared to crouching, albeit not a grade harder imo."
Dark Angel,0,vertical,crack,"Climb the crack in a corner. You can jam straight in, layback or stem. The crack is almost all hand sized for those with average sized mitts."
Backdoor Man,2,vertical,face,"Start on the high right facing flake and climb up on great holds to the top.  The first moves are the hardest, but the top gets quite high."
Swirl Wall,3,overhanging,mantle,"Standing start from the lower left on a small rail. Traverse right and up on decent holds to a cool, balancy mantle to a crimp. Make another move or two to the rollover lip and some friable holds. Use a bit of caution topping out. Walk off left."
Jiffy Pop,4,overhanging,mantle,"Weird press/mantle thingy to a seam and chossy top out or chimney.    Start from a jug rail and move up and left on a sloper. Figure out how to get up to the seam 8 feet above you. Once in the seam work up that to the top. At this point you will be below a cap stone and the holds moving right out from under it are choss, however the opposite wall of the corridor is right behind you. What you do is up to you."
Ventral Fin,5,overhanging,steep,Sit start on a sloper and crimp. Climb the overhanging arete and face.
Tall Cool Red One,6,overhanging,face,"An amazing highball with a good landing.    Start out by moving up past the right edge of the large scoop feature. Then head left across the scoop aiming for the sloping ramp that leads up to a white jug, crux. From the jug a huge move gains the obvious flake and another big move to the lip. Beware of loose rock over the lip when topping out."
Jamocha Joe aka Purple Bunny Fuckers,6,overhanging,dyno,"Start on the great left facing flake under the large roof.  Make a large move out to a good hold and try to keep your feet on the wall, or cut them and keep them off the ground.  From here turn left and make a big move to a slopy pocket.  Get a good undercling, and cross into a horizontal seam.  Work this slightly left and make a big throw to a huge jug.  Match here and drop off or continue up the chossy squeeze chimney and walk around through on the kitty litter ledge.    Name and Grade are both guesses as this is a fairly new problem, and I couldn't find it on Nick's scorecard."
Ultramega,8,overhanging,steep,"This problem beings low (no lower) on the ""holster"" pocket and another jug.  Start crossed and move through the jugs until you get to an undercling.  Reach out left to an ok pocket and bicycle.  THe crux is the next two moves establishing on the next thin finger lock pocket and then reaching up to a crimp work your feet to a good foot out left and reach a juggy pocket.  Cross left hand to the next crimp then cross back underneath your left hand to an undercling jug.  Slap up to the lip and bump until you can get a left heel hook on the lip and (red point crux) surge out to a good right hand crimp.  Rock over.  3 stars for awesome holds, movement and obvious line, -1 star for the slab at your back which is annoying more than anything."
Something Different,8,overhanging,dyno,"Start on juggy crimps and follow a set of crimps til a throw move out left.  Match and punch to the arete again for the delicate top out.  4 stars for excellent holds, movement, obvious line and landing."
Taxing the Pipe,9,overhanging,steep,"Arete and compression climbing on perfect rock.  More about finesse than power.    Start on double underclings and lunge to a sloper.  Bump your left hand up the arete and make a hard move to a sidepull on the face.  Shuffle up the arete some more, go to another sidepull.  Move your feet out right, cross over to a sloper, match, and fire for the lip.    The last 3 moves are the hardest.  Would get 4 stars if it wasn't so close to other boulders.    The PG13 comes from the eerily close wall behind you when you toss for the top.  No one ever hit it, but it feels like you could."
Rose Fruited Juniper,9,overhanging,traverse,"Start on the great left facing flake under the large roof. Make a large move out to a good hold and try to keep your feet on the wall, or cut them and keep them off the ground. From here throw left hand to a slopy pocket and work the core tension to bring your right hand up to a good crimp.  From here traverse straight right crossing your left hand into a good pocket.  Now figure out how to obtain and match the miserable crimp directly right.   Once matched move right to a good sidepull and stand up to an undercling.  Finish up the easy slab.    Originally rated V11 but if I could do it then it's not V11, so grade is my guess.    Named after the Large Juniper that's in the area.  That Juniper tree is the oldest living thing in the park."
Anything but Dull,1,overhanging,face,Climb up great rock on huecos and rounded holds with some pretty long reaches. Committing moves through the middle portion of the problem. Might be dusty due to lack of traffic.
The Fin,4,overhanging,face,"The venerable classic, and the main reason to drop your pads at the Aircraft Carrier.   Start on the head-height jug moving into the arete with a couple positive holds, then a sloping side-pull.  Use your arete skills to gain balance for the lip, or just move into it with some swing.  Finish slightly left."
Winged Victory,5,overhanging,steep,Start on good holds and figure out how to get to the next set of jugs.  Most campus but there is some toe hook beta as well.  Once the next set of jugs have been obtained head up on easier moves to one more tricky move to get established on the face.  Keep it together for the high topout and beware of any Hueco choss.
Unlock This AKA:The Locksmith sit-start,6,overhanging,steep,The sucktastic climb that is Locksmith is completely redeemed with the low start in the big hueco.  Undercling to the crimp and toe-hook to acquire a right hand.  Here's where it gets tricky as the toe release can send you off.  Figure out the balance then throw to the start hold of Locksmith while keeping your feet off the pads.  Finish out on Locksmith.      This appears to be a newer route but has excellent movement rivaling the classic of the area.
Snakebelly,7,overhanging,steep,"Sit start on the obvious jugs about 10 feet further in the cave, and then finish The Fin."
Double Pecan,8,overhanging,steep,"Start underclings and find cryptic sequence through roof to gain the lip. Trend right and up. The Wilder guide doesn't give this climb much love, but it has great movement. The Wilder guide also gives this climb a V9, but once the beta is unlocked, this problem is more in the ball park of a solid V7 or soft V8."
Mr. Freud,4,vertical,face,"Neglected problem near s-curve area. Start on a high flake in the center of the scoop and climb straight up. Downclimb is to the right, you will find a flake to scramble down."
Wutang,10,overhanging,steep,Start on the big undercling under the roof. Make a big move out to a crimp and climb steep crimps to a slightly chossy but juggy topout.
A.K.A.,10,overhanging,steep,"Sit start on the far right side of the roof, almost outside of the cave. Move up and left across the roof to gain the left arete.  The crux is turning the lip after 35' of roof climbing.  Top out with a 20' V1 slab."
El Burro,3,overhanging,technical,"Start low on opposing sidepulls.  Make challenging moves on slopey pockets to another tricky move towards the top.  From here things ease off for the topout.  The Wilder guide mentions that this is ""A challenge for any V3 climber - V10 climber for that matter.""  It held up to it's reputation as I found it just as challenging as the harder lines on the wall."
Left Donkey Show,5,overhanging,face,"This classic line may be easy if you have enough reach, or extremely challenging if you can't reach the horizontal rail.  Start on a sidepull and jug at 6 ft, make a move into an undercling and make a big reach for the horizontal rail.  The rail is good enough to cut if you need to.  Continue up on a few small crimps to an easier topout."
The Hourglass,3,overhanging,mantle,"Stem and/or pull inside of a huge hourglass shaped hueco to the lip, then make a tricky mantel over the top."
Uncut Yogi,6,overhanging,technical,Make moves up pitches and the arete until you can move right to a pocket and up on crimps. The start hold on this problem is getting very greasy and presents a real problem when you are standing on it as your feet need to stay to hold the terribly sloping hands.
The Maiden,0,vertical,face,"Amazing rock and features combined with a low crux make this a must do highball. In many areas this would be a 3-5 bolt sport climb.    Move up the short wall to the roof and reach over. use a heal to turn the lip, this in itself is getting to be kind of high. Now cruise up the 25 foot tall gorgeous wall of big huecos."
"Beer, Pizza and a 3 Foot Toothless Girl",6,vertical,crack,"Great diversity on a boulder problem. Great problem but can be painful, tape might help for the start.    Start out with a steep hands to cups crack. Then motor across the horizontal roof with some long reaches on pretty good holds. Finally fight through the bulge at the top on positive crimps.    Each section might be about V4 but by the time you get to the end you are spent."
Sledgehammer,8,overhanging,steep,"Very unique and entertaining movement on an overhanging arete. If you enjoy pinches, heel hooks, compression, and flexing biceps, this climb hits the nail on the head.    Start sitting, hugging the arete with a good right hand pinch and a pretty poor left hand pinch on the face. Make a lefthand move up to a slopey hueco and work into the opposing sidepull crimps. Clever technique should lead you to the marquee move maneuvering through the large, made to order, sledgehammer pinch. From here, span out left to a deep jug, and exit onto the slab."
Chutes and Ladders,9,overhanging,face,"Stellar looking line that improbably makes a reasonable boulder problem. Multiple place you could start, the lowest of which would involve a series of long pulls on positive edges while exposing yourself to a poor landing with evidence that some of those edges have crumbled.     However, if you start from the middle landing area from a high right edge and a seam the rock is very good and there are only really 2 moves that feel exposed. From the crimp work your way up the seam until you can reach out right to an edge in a horizontal, then punch up to a buggy rail. Move up past another rail and jugs at the top."
El Fin,5,overhanging,steep,"Start matched on a good left facing J-shaped jug. Make a few tricky moves out and slightly left to gain the lip. Continue left on holds at the lip until you gain a massive left hand jug and roll over the top. You could probably top out straight out from the start, but it looks extremely chossy."
Silverback,7,overhanging,dyno,"Start with a good left and a bad right undercling. Make moves on crimps and set up for either a large throw, or some more crimps to gain a good jug. Another large move gains you the jug just below the lip and a fairly casual top out."
Funk's Arete,8,overhanging,face,"Baffling that this is just now being added to MP. Sit-start with two hands on right side of arete, move left and up. One of the best for the grade in the park, no doubt."
3 Star Arete,2,overhanging,face,Stand start for 3 Star Arete Sit. Start with the left hand flake then head right and up along the right side pull to a jug rail at the top. Topout then downclimb around the chimney in the back made by a slick boulder.
3 Star Arete Sit,4,overhanging,face,"Starts on two low slopers and moves up through some crimps and into the vertical seam, carefully avoiding the baby cactus growing out of the rock. Crank up and into the large left hand jug that starts the V2 variation. Beware of loose rock at the top."
Babia Majora,6,overhanging,technical,Thoughtful beta-intensive lower section.
The Real Bruce Lee,0,vertical,face,"Looks intimidating, especially with no chalk on the holds, but a V0 nonetheless with excellent movement for the grade on bullet ironrock. Pretty bad landing but could be made pretty safe with 5+ pads."
Mystery Knobbler,8,overhanging,face,Cute little boulder that packs a punch and has a surprising variety of movement. Sit-start with LH on good crimp and RH on low RH.
Best of the Best,9,overhanging,face,"One of the nicest problems in all of Hueco, long problem with a wide variety of interesting moves"
Best of the West,7,overhanging,steep,"Best of the West climbs a beautiful squeeze feature at the top of west mountain, directly behind the scepter.   start on low pockets, a couple of throws, slap moves ,and slopers lead to a fun mantle into a hueco off the the left.   some of the most classic moves and features hueco has to offer in the most ideal of settings."
Chewbacca,9,overhanging,crack,"Chewbacca climbs the middle of the iron stone on the north face of The Scepter, about 30 feet to climber's right of the eponymous crack line. The business is in the first 25/30 feet, and I'm not really sure how to rate it. As a boulder problem, sheer terror might add a V grade or two, so it could be as ""easy"" as V7 or as hard as V10.    I did Chewbacca as a ground-up boulder problem, over two days, with crashpads and spotters. At one point, I climbed the easier (V3) corner to the right as a boulder/solo, to look at the lip holds and suss the top on Chewbacca, but that was the only pre-inspection.    The upper slab on both problems seemed to be 5.9/10 and went for another 20 or 30 feet, so don't fall up there. The wall is not radically overhanging, so I'm sure a good toprope could be arranged."
Echo Chamber,8,overhanging,steep,"The full package. Filled with crimps, slopers, jugs; bicycles, heel/toe hooks, knee bars; small moves, big moves, in-between moves. A must-visit if you can find a guide who knows where it is. Seems to have settled at V8, but it's a fun problem to work even if it's a little above your pay-grade, as it is broken up into sections and you can pull on from various points."
Slovenian Classic,2,overhanging,steep,"One of the most alluring jughauls to a committing and somewhat blind lip encounter. Start by reaching for bottom hueco lip and campusing to the next. Loses a star for all the choss.  Beware: Once you pull onto this thing, it WILL be difficult to reverse and step back down (you'll understand when you look at the landing). You must have good head game for this one. Also, as mentioned, it's chossy up top!"
Shroom,9,overhanging,face,"Start with a left back step and move up and slightly across with your left to a very shallow, sharp edge. Step yoru right foot out onto a good point and rock up into an OK hueco undercling along a flared groove. Work your feet up and make a long pull to a sinker left handed sidepull pocket. Another long pull up to a pretty good edge with your right and bring your left foot up to a sloping edge near your hand level and pull over left to a good hold and an easier top out.    Pretty much pure power pulling, no real trickery, either you can hold the holds and pull off of them or you can't."
Animal Acts,5,overhanging,face,Referred to as the slashface of V5.  Start sitting in an obvious hueco on good holds and move up and right to small crimps on the rail.  Make a few moderate moves on the rail to a big reach right and a hard match.  Reset and hit a good hueco then a huge jug.  From here walk up the easy finish.  Originally this problem was finished by avoiding the finishing jugs and using small crimps to the left.  This variation bumps the difficulty up to V6.
Animal Acts OG Exit,6,vertical,face,Start sitting in an obvious hueco on good holds and move up and right to small crimps on the rail. Make a few moderate moves on the rail to a big reach right and a hard match. Reset and hit a good hueco. Originally this problem was finished by avoiding the finishing jugs and using small crimps to the left. This variation bumps the difficulty up to V6.
Scream,11,overhanging,steep,"Nice setting and just a sick power boulder with the coolest ice ""scream"" scooped pockets. The traditional version (v11) starts on the lower set of sprag-pockets around head/chest height. There are two other recognized starts: the high stand version (V10) starts on the higher set of better pockets, and the sit-start, called Ice Cream (v12), starts on the ledge down low."
Splash it on and be Selfless,3,overhanging,steep,"Start directly below the obvious black water groove on a right facing hueco. Navigate through the short roof and continue upwards towards the airy summit. Stay attentive on the somewhat solid, lichen-covered holds as you near the top - a fall from up high would be disastrous.    Note - At opportune times throughout the year the Wellsite is filled with water, completely covering the fallzone in ankle-deep ponding water. For the bold, this marks the moment to either send or splash."
Clawfoot,8,overhanging,face,Start matched in good juggy huecos.  Make a long reach to the left for a crimp. Match and continue left until you can go up and top out through jugs.
Rock'em Sock'em,8,overhanging,face,Excellent quality highball about 20' to the right of Splash it On And Be Selfless.  Start standing on the skirt with small crimps (directly across from the base of the tree). Do a couple of moves on crimper plates then up the right side of the giant Hueco.  There's a good rest in the second Hueco at about 20'. Easier climbing on good incut crimps all the way to the top.
The Bathtub,9,overhanging,traverse,"A really good long and varied rising traverse. The landing follows the problem for much of it's length and you are not far off the ground until the very end which is a bit easier.    Start low and left from a sit and boulder up on some smaller crimpy holds, there is one that is pretty bad. Eventually you move up and right into slopers along the bottom of the ""bathtub"" feature. Work across the slopers to the other end of the ""bathtub"". Move up into the right end of the ""bathtub"" and out on underclings and pinches to a big move up to a jug. At this point you are starting to get up off the ground a bit. Move up the face with long moves between pretty good holds."
Eckagrata,10,overhanging,dyno,Eckagrata is essentially two moves of V6 do a hard dyno to a V2/4 top out depending on if you choose to go straight up at the top out or traverse to the left on jugs.  The PG-13 rating is for the latter top out as you climb over a boulder that would hurt to land on.  This problem is also known as the Wellsite Dyno.
Star Power,5,overhanging,steep,One of the best V5s at Hueco.  Don't be deceived by starting at the constriction between the floor and roof - look down into the dark depths for the real start.  This climbs over 30 ft and you can step off at almost any point!   Start all the way at the back moving a bit left then back right into the ass-dragger constriction and a rest.  Continue up the face with a heart-breaker pinch near the end.
Crash Dummy,7,overhanging,steep,"This line gets credit for being the only 4 star V7 in Hueco according to the Wilder guide.  I'm not sure if it's the best, but it is certainly classic and up their with BabyFace and Roughage.  Start laying down up on a shelf with a heel / toe cam and hands on a left facing shelf.  Climb leftwards thru a good pocket and a big reach left with a kneescum.  Figure out how to get the good pinch hold without dabbing on the rock behind.  Climb up through the series of cool pockets and pinches to a fun but still engaging topout."
Death by Mambo,3,overhanging,traverse,"Start on the left side of the wall with a jug undercling. Traverse right on good holds making a shouldery crux in the middle of the roof. Good footwork and jugs lead to a thin, but easy mantle."
Between the Cheeks,7,overhanging,steep,"Same start as Sheets. Pull the first couple of moves, then veer off right into a rad sequence that gets you into the crimps and undercling jug.  Like Sheets, this climb is awfully dabby, but has excellent movement."
Natural Disaster,10,overhanging,steep,"Start standing in the back of the roof, and work your way to the layback feature and final jump to the jug. As good as any 10 out there."
Long Dong Roof,6,overhanging,steep,If The Wheel of life were half as long and 2/3rd's easier AND at Hueco Tanks you'd have a climb like Long Dong Roof. Super fun. A really cool feature to climb on.
Bobby Donuts,6,overhanging,face,Start on a right facing right hand sloper-edge and matched left just above. Do a few move straight up and slightly right then continue trending left making sure not to bash your dome on the adjacent rock.
Bobby Boston Cream,7,overhanging,face,"Although it might seem obvious to start on the huge left facing jug, it actually starts on two sloping jugs just to the left. Make some moves right off the jug into a bad left hand pinch. Find a way to grab the good in-cut right hand crimp and top out as for Bobby's Doughnut."
Planet Zeist,6,overhanging,steep,Bullet proof 45 degree overhang starting matched in undercling and climbing out left and up for top out.
The Devil's Butthole,6,overhanging,steep,"This one of a kind rock climb, although in a less traveled area, is a must see problem in the Hueco Tanks backcountry when the usual locations are starting to get a bit bland and monotonous.    Starts with a large tongue at the bottom exit. Squeeze your way out 36 feet of roof climbing with the landing never being more than 5 feet behind you. Halfway through you will encounter the infamous Devil's Butthole, a dark, vast hole that easily fits six grown men inside of it (possibly more?). Venture in as far as you dare, but according to Verm, ""flashlights are off route.""    At the butthole you have two options - either crawl in for a rest, a game of cards, or possibly a cup of coffee, or, bypass the butthole and grit your way around the rim, continuing upwards leaving the darkness behind. Work your way towards the light and finish on the slab above.    With a little bit of everything, from jugs to pinches and kneebars to heel hooks this one is guaranteed to not leave a bad taste in your mouth."
Booty Slapper,5,overhanging,face,Start on Bodysnatcher and go left to the lip.
Warm-up Slab,0,slab,face,"Excellent warm-up area if you're going to be in this area or just don't want to go to The Maze. Bc I'm lazy I'm just putting them under one climb. There are 5 climbs or so on this face, but 3 stand out. 1) Cookie Butter V0- (start left of the shallow hueco dish in big rock scar) 2) Nookie Butter V0 (start with the shallow hueco dish) 3) Bushman V0 (to the right of the above two climbs; start low on nice crimps and go up very nice scar features)"
Round Room Traverse,0,vertical,traverse,Simple! Traverse around the room either clockwise or counterclockwise. See how many laps you can do without stepping off!  For a really challenge try and do it in under 1-minute. The record is supposedly around 30-sec
Corey The Pimp,6,overhanging,traverse,"A long roof traverse capped with a cruxy start and finish. Start in two underclings below obvious left hand edge and right hand slope, and venture through a sea of jugs to the heartbreaker finish into the toilet bowl. You could also extend into the Lead Belly finish, making it probably around V8.  The real Mark of the Beast: this line, Long Dong, and Devil's Butthole."
Inside Out,0,vertical,face,Line sends an arete that is located inside the North End Group maze. Standing start heads up to to two pockets and a jug top out. Avoid using your back on the boulder behind. Could be a bit height dependent for the start but is a fine line.
Welcome to the Dark Side,2,vertical,crack,Standing start avoiding the right edge and avoiding using the boulder to the left. The chimney problem is a separate route. The arete edge to the right is a separate route.
Easy on Backside of Burma,0,vertical,face,Easy.
Classic Warm Up,1,vertical,face,The crux is at the top.
Second Degree,2,slab,face,"Murder Slab variation. Using the right arete at the bottom, climb your way up and into Murder Slab."
Murder Slab,3,slab,technical,Crux is pulling up to the slab.
Baby Crane,4,overhanging,crack,"Sit start left hand low in crack, right around the arete. Gain left arete and do a couple cool moves to a chill topout. Definitely fun!"
No Foot Left Behind,5,overhanging,crack,Start just to the left of Shaking hands with God.  Climb completely under the roof using the jam crack.  Interesting and unique movement will see you out of the crack (don't lose your foot in the process). Exit up and to the right.
Hard Arete,6,vertical,face,Hard face.
Purple Gold,8,overhanging,mantle,"Start from a stand with your left hand on the arete and right on an undercling that will pinch you if not grabbed just right.  Pull on and climb up through the center of the wall through edges, a sidepull and big moves.  An easy mantle gets you on top.  A real gem I think, and surely one of the best of the grade in park.  Wait for a dry day, this thing can be wet sometimes."
Mad Cow,9,vertical,technical,"This is an intimidating, awesome line I forgot to add a while back.  From a stand on the ledge, climb the thin vertical face right of hard arête.  A good one to have many pads at your disposal."
Twinkle Toes,11,vertical,technical,"Start right of Pinball Arete in the horizontal seam, with your right hand in a pod hold and left on a slimper next to it.  Climb leftwards through a technical and powerful sequence and finish up Pinball Arete."
Face Time,2,vertical,face,Good one. Climbs ledges with some crimps added in.
Elephant Ear,3,vertical,face,"The guidebook says 5.11a, but it's only 25 feet and has a good landing."
Left of Elephant Ear,3,vertical,face,Side pulls up the face to an interesting top out.
Arrested Layback,0,vertical,crack,Climb the sharp flake. Guidebook say 5.7 but it's very protectable with pads. Classic.
Committee Climbing,2,overhanging,steep,Climb steep face to nice layback up high.  Super fun climb.  Given 5.10b in the new guide.
Stankonia,2,vertical,face,Great route. The landing looks bad but isn't because the only place to pop will send you on a casual fall on top of a flat boulder.
Fudge Shoppe,3,vertical,face,Fun
Jack Backwards,5,vertical,technical,"In the 3rd edition guidebook. Listed as project.    April 2016   Pull off the ground and move though good holds to bomber ledge.  Chalk up and reach back in the dihedral for a less then good edge, set your feet and make a committing reach left.  High-step on the ledge, press into the dihedral then continue to good holds for the finish."
Big Money Project,9,overhanging,steep,SDS near left side of cave.  Right hand on good edge and left hand-heel match out left.  Cross through to small crack and bump out right to a shitty two finger pocket and throw to the finish- hard!  Small and sharp holds through the crux.  Surprisingly this is not a dabby problem.  Super cool!
Vanishing Point,2,vertical,face,Sit start on the left facing jug and climb up interesting holds that are strangely worse than they appear.
Vision Quest,6,overhanging,steep,"Start underneath the obvious tall arete with a giant foot.  A few steep moves lead you into squeeze moves on the face.  An airy, easing and slightly insecure finish awaits.  A real beauty."
Fever Dream,7,vertical,face,"From an edge and a sidepull just next to it, climb the face not using the crack or sidepull features right.  Very subtle movement on this one and not a give away.  The crux comes at the lip and pulling the bulge."
Dream Fatigue,5,overhanging,steep,Start on the large jug. Climb great holds up the compression feature to a tricky topout.
The Ejaculator,5,overhanging,steep,The Ejaculator problem is a classic.  SDS with good holds and work your way up the breaks in rock.  Steep powerful moves from under the boulder lead to slapping your way out to the corner.  A must do for the DL boulderer
Pussy Whipped,8,overhanging,crack,"Climb up short, steep, and extremely powerful crack in rock.  Properly named due to the fact that Eric's wife kept calling him during his send efforts."
Buzz Bomb,1,vertical,face,No text - use the 'Improve This Page' link to add something useful!
Jones' Roof?,4,overhanging,steep,Sweet hidden overhang problem. Start on good underclings and make big moves straight over the roof. Things get brutal at the lip!
Agape,4,vertical,face,"Climb face left of the arete on the Titan boulder, capped by a triangular prow & press it out. Enjoy the ride if you miss the huck!"
The Titan (aka Birthday Prow),5,overhanging,face,"This gem is waiting for an ascent. When first glancing at it it looks simple, that is until you try crankin' on it. Big features with even bigger moves. Git on it!"
Slice of Life,4,overhanging,dyno,"Although squat in stature when compared to the classic routes next to it, this interesting feature has quality rock and is worth climbing. Start sitting with hands low on the face and a heel out left in the dish. Hike your weight, throw for the ledge and try to stick a solid V4 crux move. From here move up to some good holds, step up into the crack and top out to the right. The friction in the horizontal is superb, you may actually lose some skin trying this one!"
Amazing pillar original route,5,vertical,face,THE classic with the arete on the pillar. Climb up center of tall face with slab below(don't worry you'll easily clear it if you blow it)and follw crimps and rails to the top. Inspect the top out for accumulated debris first as the top out is super good if clean and scary if dirty.
Amazing Pillar,6,vertical,dyno,"On SE corner of pillar: start with left hand on large pinch, work your feet up and get small crimp on face, get your left hand up, hike feet and throw for good hold up and left.  A classic DL hard problem!  Easier for the tall in my opinion."
Amazing Face,6,vertical,face,"Start on the face left of Amazing Pillar and climb the left side of the Amazing Pillar.  The crux is up high, make sure to have a few pads and spotters as a fall will probably put you right on a rock in the landing. I believe this is right of the Original Route but correct me if I'm wrong."
The Magician,8,vertical,face,Climb up the pretty arete from the obvious jug start.
Welcome Crack,0,vertical,crack,Climb up tall and super fun crack.
Tall Boy,1,overhanging,steep,Climb up features in steep and tall face.  Super fun and a great warm up.
Its Bumpin,2,overhanging,steep,"This is the direct line up the arete of the warm up wall. Start sitting with feet together low on the arete and with arms fully outstretched. From a sharp good undercling left and an incut side pull right, make a series of bumps up to a stand.  From here a fun campus move can be done to reset feet with style. Stay on the arete to top out"
Roll Top,2,overhanging,mantle,"Begin with stacked fists. Chicken wing up into a heinous foot jam, flex your knee and reach up for a solid fist. Pull up to an insecure and exposed mantle and roll your way to safety for the top out."
Flying Mancuso,3,overhanging,steep,"Start with good ledge, slap right hand up and undercling with left, fight your way to the top."
SW Corner of Lake Boulder,3,vertical,technical,Start low and climb up slopeing arete.  Lake boulder classic.
lake boulder lunge,3,overhanging,dyno,On the left side of the east face of the lake boulder is the classic huck of the reserve. climb into two good sidepulls and shoot for a perfect soap dish and top out on the center of the face. EZ and I were repeatidly missing the hold while being heckeled by a buch of drunks and pot heads before it got sent.
Insidious,12,overhanging,steep,"This is in the el parasol roof.  The start is pictured, link into Midwest Dream.  The big move on Midwest Dream is a bit heady, do be careful."
face left of west face lake boulder,3,vertical,mantle,Instead of climbing the standard route up the west face climb the face to the left using a smeared palm and decent side pull with th eright hand. A tenuous move out left to a camo'd crimp leads to good pulls to the top and a straight mantle finish. One of my favorites at the reserve.
Struggle Bus,3,vertical,mantle,Start with feet outside the crack and step into a bad knee jam. Wrestle your way up to a good ledge and pull into a good rest. Press up into another knee and mantle out of the widening.
The Bottle,4,overhanging,steep,"Start with hands on both sides of pillar. Move your feet up and work your way up the left arete, using good compression and small feet to keep yourself on. Go straight up for the slopey top out, make sure it is clean first.    Bonus points for sit start."
Power of the Scoop,5,vertical,crack,"Using cracks, hike your way up side-pulls and move out to slopey arete to jug.  From there work your way up slopers to top.  Tricky."
Starfish,6,overhanging,dyno,"On the east face of the Lake Boulder, start with left hand on small edge and move up to starfish like hold, hike your feet up and throw for the doughy lip up right.  Top out straight up.  Classic!"
Corner right of Starfish,6,overhanging,dyno,"This is one of my favorites.  Climb corner just right of Starfish.  Start with left hand on icey side pull, paste feet and throw for good sloper.  Match hand and heel and yard up to the slopey lip."
Le Eagle,7,overhanging,mantle,"From a sit, left hand with a sloper and right with a sidepull, gain slopers and mantle into the scoop.  Pretty much a sit start to the problem Spread Eagle."
Ursa Major,7,overhanging,traverse,"This is a bear-y good lip traverse on the back side of the boulder below the Lake boulder.  Start with your left hand on a triangular notch, and right hand in an oblong pocket.  Slap and shuffle to the right along the lip until you gain better holds around the corner, and can top out where Short Boulder finishes."
Tall Boy Sit,8,overhanging,steep,Sit start the mega classic Tall Boy with a crimp for the left and a low undercling for the right.  Some folks feel that starting matched on the left crimp makes it even better.
The Gasch Traverse,8,overhanging,technical,"On the south face of the lake boulder, start with your left hand on an undercling on/close to the SW arete, and your right on the sloper rail right.  Pull on and move right through the slopes and top out on the SE arete.  Fun and powerful moves, and if you like slopers you will like this."
The Powerful Mancuso,8,vertical,crack,"Start matched in the constriction of horizontal crack 5' left of Flying Mancuso, make a large left hand move and then go right to the sloper."
Man of War,9,overhanging,steep,"A trafficked problem that is well liked. Sit start with underclings.  Grab the small, sharp crimp and climb the blunt arete."
Asteroidea,10,overhanging,crack,"An obvious, natural sit to Starfish.  Start seated on the left side of the face beneath ""Lake Boulder Lunge"" with your left hand on an undercling and right hand on a gritty edge.  Climb through the crack up and right into Starfish.  Stick the jump and top out as on that problem."
Caught Off Guard,0,vertical,crack,Climb the obvious crack.
Surprise The Moss,1,vertical,crack,Sit start just left of the crack and go straight up to the wide ledge to a somewhat tricky topout.
Surprise Party,2,vertical,face,"Starts on a large, obvious jug and goes up and right on the face.  I ran out of light to get on this but it looks like the best line on the boulder."
Surprise Arête,3,vertical,technical,Climb up the arête just to the right of the dihedral used in Ruining the Surprise.
Pleasant Surprise,3,slab,traverse,Original problem starts on two side pulls below the slab and goes directly up and over the cool slab.  Can also be started as for Out Of The Blue and traverse right to the slab.    Excellent problem with a really cool move over the slab!
Out Of The Blue,3,vertical,crack,"Sit start the same as for Backside Surprise Right, but after two moves trend left onto the face.  Follow a crack system to a good hold and an incredible pinch with an easy topout.  Fantastic problem!"
Sneak Attack,8,overhanging,crack,Starts on a low jug that looks detached but isn't really and goes straight up to the obvious jug and then follows the crack directly left on small holds.  Tops out in the crack.
Pot Mouth,0,vertical,face,"Start on opposing holds in the middle of the face and climb up on great, comfy holds to a fun topout.  Fantastic warmup."
Methier Mouth,2,vertical,face,"Start low on the face, just left of Mouthin' Off and climb up and into Meth Mouth.  Adds a handful of moves into Meth Mouth."
Logical Bastard,2,overhanging,mantle,Fun mantle problem 2 minutes from the parking lot.
Dorothy's Slab,1,slab,face,"A very nice slab climb up the tallest face of the prominent pillar in the Shark Tooth area. Starts on the bulge above the horizontal break, and follows a ledge system up and left across the face.  Named in honor of my grandmother Dorothy who recently passed away."
Scent of Blood,5,overhanging,steep,Start with right hand on jug underneath the roof and left hand on slopey edge. A few powerful moves lead up the arete.
